"","vcf_order","isolate","isolate_vcf","label_raxml","location","lon","lat","Region","region_noaa","region_IPCC","Country","Location","State_Department","Host","municipality_resolution","Municipality","field","clade","subclade","Genetic_Cluster","source","comments","google_maps","rndCoord.lon","rndCoord.lat","ClimateZ","ClimateZ.1"
"75",76,"SAG5_4 ","SAG5_4_R1","SAG5_4_R1","Saginaw County, MI",-84.313,43.348,"North","Midwest","ENA","US","Midwest US","MI","Soybean","yes","Saginaw County, MI","Unknown","US","US1","US1A","M. Chilvers","","",-84.3194444444444,43.3472222222222,"Dfb",25
"76",77,"TN262 ","TN262_R1","TN262_R1","Tennessee",-86.58,35.517,"South","Central","ENA","US","Central US","TN","Soybean","no","Unknown","Unknown","US","US1","US1A","A. Mengistu. Obtained from Kiersten Wise","","",-86.5694444444444,35.5138888888889,"Cfa",14
"77",78,"TN270 ","TN270_R1","TN270_R1","Mississippi",-90.932,33.424,"South","South","CNA","US","South US","MS","Soybean","no","Unknown","Unknown","US","US1","US1B","A. Mengistu. Obtained from Kiersten Wise","","",-90.9305555555556,33.4305555555556,"Cfa",14
"78",79,"TN279 ","TN279_R1","TN279_R1","Jackson, Tennessee",-88.846,35.622,"South","Central","ENA","US","Central US","TN","Soybean","yes","Jackson, TN","Unknown","US","US1","US1A","A. Mengistu. Obtained from Kiersten Wise","2008","",-88.8472222222222,35.625,"Cfa",14
"79",80,"TN280 ","TN280_R1","TN280_R1","Kentucky",-84.27,37.839,"South","Central","ENA","US","Central US","KY","Soybean","no","Unknown","Unknown","US","US1","US1A","A. Mengistu. Obtained from Kiersten Wise","","",-84.2638888888889,37.8472222222222,"Cfa",25
"80",81,"TN380 ","TN380_R1","TN380_R1","Stoneville, Mississippi",-90.932,33.424,"South","South","CNA","US","South US","MS","Soybean","yes","Stoneville, Mississippi","Unknown","US","US1","US1B","A. Mengistu. Obtained from Kiersten Wise","2009","",-90.9305555555556,33.4305555555556,"Cfa",14
"81",82,"TN4 ","TN4_R1","TN4_R1","Jackson, Tennessee",-88.846,35.622,"South","Central","ENA","US","Central US","TN","Soybean","yes","Jackson, Tennessee","Unknown","US","US1","US1A","A. Mengistu. Obtained from Kiersten Wise","2006","",-88.8472222222222,35.625,"Cfa",14
"82",83,"TN501 ","TN501_R1","TN501_R1","Louisiana",-91.962,30.984,"South","South","CNA","US","South US","LA","Soybean","no","Unknown","Unknown","COLPR","COLPR2","COLPR2","A. Mengistu. Obtained from Kiersten Wise","","",-91.9583333333333,30.9861111111111,"Cfa",14
"83",84,"TN550 ","TN550_R1","TN550_R1","Texas",-99.902,31.969,"South","South","CNA","US","South US","TX","Soybean","no","Unknown","Unknown","US","US2","US2","A. Mengistu. Obtained from Kiersten Wise","","",-99.9027777777778,31.9583333333333,"Cfa",6
"84",85,"TN5 ","TN5_R1","TN5_R1","Ames, Tennessee",-89.862,35.418,"South","Central","ENA","US","Central US","TN","Soybean","yes","Ames, TN","Unknown","US","US1","US1A","A. Mengistu. Obtained from Kiersten Wise","2006. Used AMES AGRESEARCH AND EDUCATION CENTER (Grand Junction, TN) for lat and lon","",-89.875,35.4305555555556,"Cfa",14
"85",86,"UPR_Mph_ISA2 ","UPR_Mph_ISA2_R1","UPR_ISA2","Isabela, Puerto Rico",-67.056,18.462,"Puerto Rico","Puerto Rico","CAR","PR","Puerto Rico","ISA","Dry bean","yes","Isabela, PR","Unknown","COLPR","COLPR1","COLPR1","Consuelo Estevez De Jensen - UPR","","https://www.google.com/maps/place/18¡27'43.9%22N+67¡03'21.3%22W/@18.4621352,-67.0561634,18.24z/data=!4m15!1m8!3m7!1s0x0:0x0!2zMTjCsDI3JzQzLjkiTiA2N8KwMDMnMjEuMyJX!3b1!7e2!8m2!3d18.4621944!4d-67.0559167!3m5!1s0x8c02be37b1228f77:0x751fbd0f436d86d5!7e2!8m2!3d18.4621945!4d-67.0559167",-67.0694444444444,18.4583333333333,"Am",1
"86",87,"UPR_Mph_ISA3 ","UPR_Mph_ISA3_R1","UPR_ISA3","Isabela, Puerto Rico",-67.056,18.462,"Puerto Rico","Puerto Rico","CAR","PR","Puerto Rico","ISA","Dry bean","yes","Isabela, PR","Unknown","COLPR","COLPR2","COLPR2","Consuelo Estevez De Jensen - UPR","","https://www.google.com/maps/place/18¡27'43.9%22N+67¡03'21.3%22W/@18.4621352,-67.0561634,18.24z/data=!4m15!1m8!3m7!1s0x0:0x0!2zMTjCsDI3JzQzLjkiTiA2N8KwMDMnMjEuMyJX!3b1!7e2!8m2!3d18.4621944!4d-67.0559167!3m5!1s0x8c02be37b1228f77:0x751fbd0f436d86d5!7e2!8m2!3d18.4621945!4d-67.0559167",-67.0694444444444,18.4583333333333,"Am",1
"87",88,"UPR_Mph_JD1 ","UPR_Mph_JD1_R1","UPR_JD1","Juana Diaz, Puerto Rico",-66.518,18.019,"Puerto Rico","Puerto Rico","CAR","PR","Puerto Rico","JD","Dry bean","yes","Juana Diaz, PR","Unknown","COLPR","COLPR1","COLPR1","Consuelo Estevez De Jensen - UPR","","",-66.5138888888889,18.0138888888889,"Am",3
"88",89,"UPR_Mph_JD2 ","UPR_Mph_JD2_R1","UPR_JD2","Juana Diaz, Puerto Rico",-66.518,18.019,"Puerto Rico","Puerto Rico","CAR","PR","Puerto Rico","JD","Dry bean","yes","Juana Diaz, PR","Unknown","COLPR","COLPR1","COLPR1","Consuelo Estevez De Jensen - UPR","","",-66.5138888888889,18.0138888888889,"Am",3
"89",90,"UPR_Mph_JD3 ","UPR_Mph_JD3_R1","UPR_JD3","Juana Diaz, Puerto Rico",-66.518,18.019,"Puerto Rico","Puerto Rico","CAR","PR","Puerto Rico","JD","Dry bean","yes","Juana Diaz, PR","Unknown","COLPR","COLPR1","COLPR1","Consuelo Estevez De Jensen - UPR","","",-66.5138888888889,18.0138888888889,"Am",3
"90",91,"W12_6 ","W12_6_R1","W12_6_R1","Hamilton, MI",-85.999,42.671,"North","Midwest","ENA","US","Midwest US","MI","Soybean","yes","Hamilton, MI","Unknown","US","US2","US2","M. Chilvers","","",-85.9861111111111,42.6805555555556,"Dfa",25
"91",92,"W23 ","W23_R1","W23_R1","Pewamo, MI ",-84.847,43.001,"North","Midwest","ENA","US","Midwest US","MI","Soybean","yes","Pewamo, MI ","Unknown","US","US1","US1A","M. Chilvers","","",-84.8472222222222,43.0138888888889,"Dfb",25
"92",93,"W25 ","W25_R1","W25_R1","Hamilton, MI",-85.999,42.671,"North","Midwest","ENA","US","Midwest US","MI","Soybean","yes","Hamilton, MI","Unknown","US","US2","US2","M. Chilvers","","",-85.9861111111111,42.6805555555556,"Dfa",25
"93",94,"W3_5 ","W3_5_R1","W3_5_R1","Hamilton, MI",-85.999,42.671,"North","Midwest","ENA","US","Midwest US","MI","Soybean","yes","Hamilton, MI","Unknown","US","US2","US2","M. Chilvers","","",-85.9861111111111,42.6805555555556,"Dfa",25
"94",95,"W_MISO2_3_6 ","W_MISO2_3_6_R1","W_MISO2_3_","Corner 54th 136th ave Hamilton, MI",-86.1,42.7,"North","Midwest","ENA","US","Midwest US","MI","Soybean","yes","Hamilton, MI","14","US","US1","US1A","M. Chilvers","","",-86.0972222222222,42.7083333333333,"Dfb",26
"95",96,"W_MISO2_4_10 ","W_MISO2_4_10_R1","W_MISO2_4_","Portland Rd Jordan lake rd, MI",-85.1,42.9,"North","Midwest","ENA","US","Midwest US","MI","Soybean","yes","Berlin, MI","15","US","US1","US1A","M. Chilvers","","",-85.0972222222222,42.9027777777778,"Dfb",25
